SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
2186.0,79.5768833199
2192.0,80.3564176897
2198.0,81.138155925
2204.0,81.9220980258
2210.0,82.7082439922
2216.0,83.4965938241
2222.0,84.2871475216
2228.0,85.0799050846
2234.0,85.8748665132
2240.0,86.6720318073
2246.0,87.471400967
2252.0,88.2729739922
2258.0,89.0767508829
2264.0,89.8827316392
2270.0,90.6909162611
2276.0,91.5013047485
2282.0,92.3138971014
2288.0,93.1286933199
2294.0,93.9456934039
2300.0,94.7648973535
2306.0,95.5863051687
2312.0,96.4099168493
2318.0,97.2357323955
2324.0,98.0637518073
2330.0,98.8939750846
2336.0,99.7264022275
2342.0,100.5610332359
2348.0,101.3978681098
2354.0,102.2369068493
2360.0,103.0781494544
2366.0,103.921595925
2372.0,104.7672462611
2378.0,105.6151004628
2384.0,106.46515853
2390.0,107.3174204628
2396.0,108.1718862611
2402.0,109.028555925
2408.0,109.8874294544
2414.0,110.7485068493
2420.0,111.6117881098
2426.0,112.4772732359
2432.0,113.3449622275
2438.0,114.2148550846
2444.0,115.0869518073
2450.0,115.9612523955
2456.0,116.8377568493
2462.0,117.7164651687
2468.0,118.5973773535
2474.0,119.4804934039
2480.0,120.3658133199
2486.0,121.2533371014
2492.0,122.1430647485
2498.0,123.0349962611
2504.0,123.9291316392
2510.0,124.8254708829
2516.0,125.7240139922
2522.0,126.624760967
2528.0,127.5277118073
2534.0,128.4328665132
2540.0,129.3402250846
2546.0,130.2497875216
2552.0,131.1615538241
2558.0,132.0755239922
2564.0,132.9916980258
2570.0,133.910075925
2576.0,134.8306576897
2582.0,135.7534433199
2588.0,136.6784328157
2594.0,137.6056261771
2600.0,138.5350234039
2606.0,139.4666244964
2612.0,140.4004294544
2618.0,141.3364382779
2624.0,142.274650967
2630.0,143.2150675216
2636.0,144.1576879418
2642.0,145.1025122275
2648.0,146.0495403787
2654.0,146.9987723955
2660.0,147.9502082779
2666.0,148.9038480258
2672.0,149.8596916392
2678.0,150.8177391182
2684.0,151.7779904628
2690.0,152.7404456729
2696.0,153.7051047485
2702.0,154.6719676897
2708.0,155.6410344964
2714.0,156.6123051687
2720.0,157.5857797065
2726.0,158.5614581098
2732.0,159.5393403787
2738.0,160.5194265132
2744.0,161.5017165132
2750.0,162.4862103787
2756.0,163.4729081098
2762.0,164.4618097065
2768.0,165.4529151687
2774.0,166.4462244964
2780.0,167.4417376897
2786.0,168.4394547485
2792.0,169.4393756729
2798.0,170.4415004628
2804.0,171.4458291182
2810.0,172.4523616392
2816.0,173.4610980258
2822.0,174.4720382779
2828.0,175.4851823955
2834.0,176.5005303787
2840.0,177.5180822275
2846.0,178.5378379418
2852.0,179.5597975216
2858.0,180.583960967
2864.0,181.60983853
2888.0,185.71383853
2894.0,186.73983853
2906.0,188.79183853
2930.0,192.89583853
2936.0,193.92183853
2942.0,194.94783853
2948.0,195.97383853
2960.0,198.02583853
2966.0,199.05183853
2972.0,200.07783853
2978.0,201.10383853
2984.0,202.12983853
2996.0,204.18183853
3008.0,206.23383853
3014.0,207.25983853
3020.0,208.28583853
3032.0,210.33783853
3044.0,212.38983853
3050.0,213.41583853
3056.0,214.44183853
3068.0,216.49383853
3080.0,218.54583853
3086.0,219.57183853
3092.0,220.59783853
3098.0,221.62383853
3104.0,222.64983853
3122.0,225.72783853
3128.0,226.75383853
3134.0,227.77983853
3140.0,228.80583853
3152.0,230.85783853
3158.0,231.88383853
3164.0,232.90983853
3170.0,233.93583853
3176.0,234.96183853
3188.0,237.01383853
3194.0,238.03983853
3200.0,239.06583853
3206.0,240.09183853
3224.0,243.16983853
3230.0,244.19583853
3242.0,246.24783853
3248.0,247.27383853
3254.0,248.29983853
