SPSBEAM/BDot,SPSBEAM/BDot
X,Y
12065.0,0.3560625
12071.0,0.3594375
12077.0,0.3628125
12083.0,0.3661875
12089.0,0.3695625
12095.0,0.3729375
12101.0,0.3763125
12107.0,0.3796875
12113.0,0.3830625
12125.0,0.3898125
12131.0,0.3931875
12137.0,0.3965625
12143.0,0.3999375
12149.0,0.4033125
12155.0,0.4066875
12161.0,0.4100625
12173.0,0.4168125
12179.0,0.4201875
12185.0,0.4235625
12191.0,0.4269375
12203.0,0.4336875
12209.0,0.4370625
12215.0,0.4404375
12221.0,0.4438125
12227.0,0.4471875
12233.0,0.4505625
12239.0,0.4539375
12245.0,0.4573125
12251.0,0.4606875
12257.0,0.4640625
12263.0,0.4674375
12269.0,0.4708125
12275.0,0.4741875
12281.0,0.4775625
12287.0,0.4809375
12293.0,0.4843125
12299.0,0.4876875
12317.0,0.4978125
12323.0,0.5011875
12329.0,0.5045625
12335.0,0.5079375
12341.0,0.5113125
12347.0,0.5146875
12353.0,0.5180625
12359.0,0.5214375
12365.0,0.5248125
12371.0,0.5281875
12377.0,0.5315625
12383.0,0.5349375
12389.0,0.5383125
12395.0,0.5407425
12401.0,0.5422275
12407.0,0.5437125
12413.0,0.5451975
12425.0,0.5481675
12431.0,0.5496525
12437.0,0.5511375
12443.0,0.5526225
12449.0,0.5541075
12455.0,0.5555925
12461.0,0.5570775
12467.0,0.5585625
12473.0,0.5600475
12479.0,0.5615325
12485.0,0.5630175
12497.0,0.5659875
12503.0,0.5674725
12509.0,0.5689575
12515.0,0.5704425
12521.0,0.5719275
12527.0,0.5734125
12533.0,0.5748975
12539.0,0.5763825
12551.0,0.5793525
12557.0,0.5808375
12563.0,0.5823225
12569.0,0.5838075
12575.0,0.5852925
12587.0,0.5882625
12593.0,0.5897475
12599.0,0.5912325
12605.0,0.5927175
12611.0,0.5942025
12617.0,0.5956875
12623.0,0.5971725
12629.0,0.5986575
12635.0,0.6001425
12641.0,0.6016275
12647.0,0.6031125
12653.0,0.6045975
12659.0,0.6060825
12671.0,0.6090525
12677.0,0.6105375
12683.0,0.6120225
12695.0,0.6149925
12701.0,0.6164775
12707.0,0.6179625
12719.0,0.6209325
12731.0,0.6239025
12737.0,0.6253875
12749.0,0.6283575
12755.0,0.6298425
12761.0,0.6313275
12767.0,0.6328125
12773.0,0.6342975
12785.0,0.6372675
12791.0,0.6387525
12797.0,0.6402375
12803.0,0.6417225
12809.0,0.6432075
12815.0,0.6446925
12827.0,0.6476625
12839.0,0.6506325
12845.0,0.6521175
12851.0,0.6536025
12857.0,0.6550875
12863.0,0.6565725
12869.0,0.6580575
12875.0,0.6595425
12881.0,0.6610275
12893.0,0.6639975
12899.0,0.6654825
12905.0,0.6669675
12917.0,0.6699375
12923.0,0.6714225
12929.0,0.6729075
12935.0,0.6743925
12959.0,0.6803325
12965.0,0.6818175
12971.0,0.6833025
12977.0,0.6847875
12983.0,0.6862725
12989.0,0.6877575
12995.0,0.6892425
13001.0,0.6907275
13007.0,0.6922125
13013.0,0.6936975
13025.0,0.6966675
13031.0,0.6981525
13037.0,0.6996375
13043.0,0.7011225
13049.0,0.7026075
13055.0,0.7040925
13061.0,0.7055775
13067.0,0.7070625
13073.0,0.7085475
13079.0,0.7100325
13085.0,0.7115175
13091.0,0.7130025
13097.0,0.7144875
13103.0,0.7159725
13109.0,0.7174575
13127.0,0.7219125
13139.0,0.7248825
13145.0,0.7263675
13157.0,0.7293375
13169.0,0.7323075
13175.0,0.7337925
13181.0,0.7352775
13187.0,0.7367625
13193.0,0.7379175
13199.0,0.738
13835.0,0.738
13841.0,0.7374462306
13847.0,0.7335698448
13859.0,0.7247095344
13865.0,0.7202793792
13871.0,0.7158492239
13883.0,0.7069889135
13889.0,0.7025587583
13895.0,0.6981286031
13901.0,0.6936984479
13907.0,0.6892682927
13913.0,0.6848381375
13919.0,0.6804079823
13925.0,0.6759778271
13931.0,0.6715476718
13937.0,0.6671175166
13949.0,0.6582572062
13955.0,0.653827051
13961.0,0.6493968958
13967.0,0.6449667406
13973.0,0.6405365854
13979.0,0.6361064302
14003.0,0.6183858093
14009.0,0.6139556541
14015.0,0.6095254989
14021.0,0.6050953437
14027.0,0.6006651885
14033.0,0.5962350333
14039.0,0.591804878
14045.0,0.5873747228
14051.0,0.5829445676
14057.0,0.5785144124
14063.0,0.5740842572
14069.0,0.569654102
14075.0,0.5652239468
14081.0,0.5607937916
14087.0,0.5563636364
14093.0,0.5519334812
14099.0,0.5475033259
14105.0,0.5430731707
14111.0,0.5386430155
14117.0,0.5342128603
14123.0,0.5297827051
14129.0,0.5253525499
14141.0,0.5164922395
14147.0,0.5120620843
14153.0,0.507631929
14159.0,0.5032017738
14165.0,0.4987716186
14171.0,0.4943414634
14177.0,0.4899113082
14183.0,0.485481153
14189.0,0.4810509978
14195.0,0.4766208426
14201.0,0.4721906874
14207.0,0.4677605322
14213.0,0.4633303769
14219.0,0.4589002217
14225.0,0.4544700665
14231.0,0.4500399113
14237.0,0.4456097561
14261.0,0.4278891353
14267.0,0.42345898
14273.0,0.4190288248
14279.0,0.4145986696
14285.0,0.4101685144
14291.0,0.4056161164
14297.0,0.3994745625
14303.0,0.3928440375
14309.0,0.3862135125
14315.0,0.3795829875
14321.0,0.3729524625
14327.0,0.3663219375
14333.0,0.3596914125
14339.0,0.3530608875
14345.0,0.3464303625
14351.0,0.3397998375
14357.0,0.3331693125
14363.0,0.3265387875
14369.0,0.3199082625
14375.0,0.3132777375
14387.0,0.3000166875
14393.0,0.2933861625
14399.0,0.2867556375
14405.0,0.2801251125
14411.0,0.2734945875
14417.0,0.2668640625
14423.0,0.2602335375
14429.0,0.2536030125
14435.0,0.2469724875
14441.0,0.2403419625
14447.0,0.2337114375
14453.0,0.2270809125
14459.0,0.2204503875
14465.0,0.2138198625
14471.0,0.2071893375
14483.0,0.1939282875
14489.0,0.1872977625
14495.0,0.1812227625
14501.0,0.1757032875
14507.0,0.1701838125
14513.0,0.1646643375
14519.0,0.1591448625
14525.0,0.1536253875
14531.0,0.1481059125
14537.0,0.1425864375
14543.0,0.1370669625
14549.0,0.1315474875
14555.0,0.1260280125
14561.0,0.1205085375
14567.0,0.1149890625
14585.0,0.0984306375
14591.0,0.0929111625
14597.0,0.0873916875
14603.0,0.0818722125
14609.0,0.0763527375
14615.0,0.0708332625
14621.0,0.0653137875
14627.0,0.0597943125
14633.0,0.0542748375
14639.0,0.0487553625
14645.0,0.0432358875
14651.0,0.0377164125
14657.0,0.0321969375
14663.0,0.0266774625
14669.0,0.0211579875
14681.0,0.0101190375
14687.0,0.0045995625
14693.0,9.199125E-4
14695.0,0.0
15304.0,0.0
,
,
