TWC_200/TOTAL_VOLTAGE,TWC_200/TOTAL_VOLTAGE
X,Y
15055.0,5.787
15067.0,5.787
15079.0,5.787
15091.0,5.787
15103.0,5.787
15115.0,5.787
15139.0,5.787
15151.0,5.787
15187.0,5.787
15199.0,5.787
15211.0,5.787
15223.0,5.787
15235.0,5.787
15247.0,5.787
15259.0,5.787
15271.0,5.787
15283.0,5.787
15295.0,5.787
15307.0,5.787
15343.0,5.787
15355.0,5.787
15367.0,5.787
15391.0,5.787
15403.0,5.787
15415.0,5.787
15427.0,5.787
15439.0,5.787
15451.0,5.787
15463.0,5.787
15475.0,5.787
15511.0,5.787
15535.0,5.787
15571.0,5.787
15583.0,5.787
15619.0,5.787
15631.0,5.787
15643.0,5.787
15655.0,5.787
15667.0,5.787
15679.0,5.787
15691.0,5.787
15703.0,5.787
15727.0,5.787
15739.0,5.787
15787.0,5.787
15811.0,5.787
15823.0,5.787
15835.0,5.787
15847.0,5.787
15859.0,5.787
15871.0,5.787
15883.0,5.787
15895.0,5.787
15907.0,5.787
15979.0,5.787
16015.0,5.787
16039.0,5.787
16051.0,5.787
16063.0,5.787
16075.0,5.787
16087.0,5.787
16099.0,5.787
16111.0,5.787
16123.0,5.787
16135.0,5.787
16207.0,5.787
16219.0,5.787
16231.0,5.787
16243.0,5.787
16255.0,5.787
16267.0,5.787
16279.0,5.787
16291.0,5.787
16303.0,5.787
16315.0,5.787
16327.0,5.787
16339.0,5.787
16351.0,5.787
16363.0,5.787
16375.0,5.787
16387.0,5.787
16399.0,5.787
16411.0,5.787
16423.0,5.787
16435.0,5.787
16447.0,5.787
16459.0,5.787
16471.0,5.787
16483.0,5.787
16495.0,5.787
16507.0,5.787
16519.0,5.787
16531.0,5.787
16543.0,5.787
16555.0,5.787
16567.0,5.787
16579.0,5.787
16591.0,5.787
16603.0,5.787
16615.0,5.787
16627.0,5.787
16639.0,5.787
16651.0,5.787
16663.0,5.787
16675.0,5.787
16687.0,5.787
16699.0,5.787
16711.0,5.787
16723.0,5.787
16735.0,5.787
16747.0,5.787
16759.0,5.787
16771.0,5.787
16783.0,5.787
16795.0,5.787
16807.0,5.787
16819.0,5.787
16831.0,5.787
16843.0,5.787
16855.0,5.787
16867.0,5.787
16879.0,5.787
16891.0,5.787
16903.0,5.787
16915.0,5.787
16927.0,5.787
16939.0,5.787
16950.0,5.787
16951.0,5.787
16954.0,5.787
17054.0,7.0
17454.0,7.0
,
,
