SPSBEAM/ETA,SPSBEAM/ETA
X,Y
8869.0,-4.382321E-4
8875.0,-4.158901E-4
8881.0,-3.934761E-4
8887.0,-3.710014E-4
8893.0,-3.484773E-4
8899.0,-3.259148E-4
8905.0,-3.033246E-4
8911.0,-2.807173E-4
8917.0,-2.58103E-4
8923.0,-2.354917E-4
8929.0,-2.12893E-4
8935.0,-1.903166E-4
8941.0,-1.677713E-4
8947.0,-1.452352E-4
8953.0,-1.223213E-4
8959.0,-9.89406E-5
8965.0,-7.51301E-5
8971.0,-5.09266E-5
8977.0,-2.6412E-5
8983.0,-2.1965E-6
8989.0,2.15476E-5
9001.0,6.76698E-5
9013.0,1.120472E-4
9019.0,1.33609E-4
9025.0,1.547668E-4
9031.0,1.755305E-4
9037.0,1.959099E-4
9043.0,2.159145E-4
9049.0,2.356081E-4
9055.0,2.551714E-4
9061.0,2.746136E-4
9067.0,2.939304E-4
9073.0,3.131176E-4
9079.0,3.321713E-4
9085.0,3.510876E-4
9091.0,3.698632E-4
9097.0,3.884211E-4
9103.0,4.058262E-4
9109.0,4.218469E-4
9115.0,4.365447E-4
9121.0,4.499748E-4
9127.0,4.621867E-4
9133.0,4.732247E-4
9139.0,4.831283E-4
9145.0,4.919324E-4
9151.0,4.996676E-4
9157.0,5.063605E-4
9163.0,5.12034E-4
9169.0,5.167073E-4
9175.0,5.20396E-4
9181.0,5.231124E-4
9187.0,5.248656E-4
9193.0,5.256613E-4
9195.0,5.257143E-4
11195.0,5.257143E-4
11201.0,5.258042E-4
11207.0,5.260739E-4
11213.0,5.265232E-4
11219.0,5.271519E-4
11225.0,5.279595E-4
11231.0,5.289455E-4
11237.0,5.301093E-4
11243.0,5.314503E-4
11249.0,5.329676E-4
11255.0,5.346602E-4
11261.0,5.365271E-4
11267.0,5.385671E-4
11273.0,5.407791E-4
11279.0,5.431616E-4
11285.0,5.457133E-4
11291.0,5.484325E-4
11297.0,5.513177E-4
11303.0,5.543671E-4
11309.0,5.575788E-4
11315.0,5.60951E-4
11321.0,5.644817E-4
11327.0,5.681687E-4
11333.0,5.7201E-4
11339.0,5.760032E-4
11345.0,5.801461E-4
11351.0,5.844363E-4
11357.0,5.888713E-4
11363.0,5.934486E-4
11369.0,5.981656E-4
11375.0,6.030197E-4
11381.0,6.080081E-4
11387.0,6.131281E-4
11393.0,6.18377E-4
11399.0,6.237518E-4
11405.0,6.292496E-4
11411.0,6.348675E-4
11417.0,6.406026E-4
11423.0,6.464518E-4
11429.0,6.52412E-4
11435.0,6.584803E-4
11441.0,6.646535E-4
11447.0,6.709285E-4
11453.0,6.773022E-4
11459.0,6.837714E-4
11465.0,6.90333E-4
11471.0,6.969838E-4
11477.0,7.037206E-4
11483.0,7.105402E-4
11489.0,7.174395E-4
11495.0,7.244154E-4
11501.0,7.314645E-4
11507.0,7.385838E-4
11513.0,7.457702E-4
11519.0,7.530204E-4
11525.0,7.603315E-4
11531.0,7.677001E-4
11537.0,7.751234E-4
11543.0,7.825982E-4
11549.0,7.901215E-4
11555.0,7.976903E-4
11561.0,8.053016E-4
11567.0,8.129525E-4
11573.0,8.206401E-4
11579.0,8.283614E-4
11585.0,8.361137E-4
11591.0,8.438941E-4
11597.0,8.517096E-4
11603.0,8.59682E-4
11609.0,8.678416E-4
11615.0,8.761791E-4
11621.0,8.846855E-4
11627.0,8.933514E-4
11633.0,9.021677E-4
11639.0,9.111251E-4
11645.0,9.202145E-4
11651.0,9.294268E-4
11657.0,9.387529E-4
11663.0,9.481839E-4
11669.0,9.577109E-4
11675.0,9.673251E-4
11681.0,9.77018E-4
11687.0,9.86781E-4
11693.0,9.966059E-4
11699.0,0.0010064845
11705.0,0.0010164088
11711.0,0.001026371
11717.0,0.0010363634
11723.0,0.0010463787
11729.0,0.0010564097
11735.0,0.0010664492
11741.0,0.0010764906
11747.0,0.0010865273
11753.0,0.0010965529
11759.0,0.0011065613
11765.0,0.0011165466
11771.0,0.0011265031
11777.0,0.0011364254
11783.0,0.0011463083
