SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
9919.0,37.3530528
9931.0,37.5493248
9943.0,37.7472672
9955.0,37.94688
9967.0,38.1481632
9979.0,38.3511168
9991.0,38.5557408
10003.0,38.7620352
10015.0,38.97
10027.0,39.1796352
10039.0,39.3909408
10051.0,39.6039168
10063.0,39.8185632
10075.0,40.03488
10087.0,40.2528672
10099.0,40.4725248
10111.0,40.6938528
10123.0,40.9168512
10135.0,41.14152
10147.0,41.3678592
10159.0,41.5958688
10171.0,41.8255488
10183.0,42.0568992
10195.0,42.28992
10207.0,42.5246112
10219.0,42.7609728
10231.0,42.9990048
10243.0,43.2387072
10255.0,43.48008
10267.0,43.7231232
10279.0,43.9678368
10291.0,44.2142208
10303.0,44.4622752
10315.0,44.712
10327.0,44.9633952
10339.0,45.2164608
10351.0,45.4711968
10363.0,45.7276032
10375.0,45.98568
10387.0,46.2454272
10399.0,46.5068448
10411.0,46.7699328
10423.0,47.0346912
10435.0,47.30112
10447.0,47.5692192
10459.0,47.8389888
10471.0,48.1104288
10483.0,48.3835392
10495.0,48.65832
10507.0,48.9347712
10519.0,49.2128928
10531.0,49.4926848
10543.0,49.7741472
10555.0,50.05728
10567.0,50.3420832
10579.0,50.6285568
10591.0,50.9167008
10603.0,51.2065152
10615.0,51.498
10627.0,51.7911552
10639.0,52.0859808
10651.0,52.3824768
10663.0,52.6806432
10675.0,52.98048
10687.0,53.2819872
10699.0,53.5851648
10711.0,53.8900128
10723.0,54.1965312
10735.0,54.50472
10747.0,54.8145792
10759.0,55.1261088
10771.0,55.4393088
10783.0,55.7541792
10795.0,56.07072
10807.0,56.3889312
10819.0,56.7088128
10831.0,57.0303648
10843.0,57.3535872
10855.0,57.67848
10867.0,58.0050432
10879.0,58.3332768
10891.0,58.6631808
10903.0,58.9947552
10915.0,59.328
10927.0,59.6629152
10939.0,59.9995008
10951.0,60.3377568
10963.0,60.6776832
10975.0,61.01928
10987.0,61.3625472
10999.0,61.7074848
11011.0,62.0540928
11023.0,62.40278048
11035.0,62.754878
11047.0,63.11048768
11059.0,63.46960952
11071.0,63.83224352
11083.0,64.19838968
11095.0,64.568048
11107.0,64.94121848
11119.0,65.31790112
11131.0,65.69809592
11143.0,66.08180288
11155.0,66.469022
11167.0,66.85975328
11179.0,67.25399672
11191.0,67.65175232
11203.0,68.05302008
11215.0,68.4578
11227.0,68.86609208
11239.0,69.27789632
11251.0,69.69321272
11263.0,70.11204128
11275.0,70.534382
11287.0,70.96023488
11299.0,71.38959992
11311.0,71.82247712
11323.0,72.25886648
11335.0,72.698768
11347.0,73.14218168
11359.0,73.58910752
11371.0,74.03954552
11383.0,74.49349568
11395.0,74.950958
11407.0,75.41193248
11419.0,75.87641912
11431.0,76.34441792
11443.0,76.81592888
11455.0,77.290952
11467.0,77.76948728
11479.0,78.25153472
11491.0,78.73709432
11503.0,79.22616608
11515.0,79.71875
11527.0,80.21484608
11539.0,80.71445432
11551.0,81.21757472
11563.0,81.72420728
11575.0,82.234352
11587.0,82.74800888
11599.0,83.26517792
11611.0,83.78585912
11623.0,84.31005248
11635.0,84.837758
11647.0,85.36897568
11659.0,85.90370552
11671.0,86.44194752
11683.0,86.98370168
11695.0,87.528968
11707.0,88.07774648
11719.0,88.63003712
11731.0,89.18583992
11743.0,89.74515488
11755.0,90.307982
11767.0,90.87432128
11779.0,91.44417272
11791.0,92.01753632
11803.0,92.59441208
11815.0,93.1748
11827.0,93.75870008
11839.0,94.34611232
11851.0,94.93703672
11863.0,95.53147328
11875.0,96.129422
11887.0,96.73088288
11899.0,97.33585592
11911.0,97.94434112
11923.0,98.55633848
11935.0,99.171848
11947.0,99.79086968
11959.0,100.41340352
