SPSBEAM/B,SPSBEAM/B
X,Y
2767.0,0.472793895
2773.0,0.47636802
2779.0,0.479951055
2785.0,0.483543
2791.0,0.487143855
2797.0,0.49075362
2803.0,0.494372295
2809.0,0.49799988
2815.0,0.501636375
2821.0,0.50528178
2827.0,0.508936095
2833.0,0.51259932
2839.0,0.516271455
2845.0,0.5199525
2851.0,0.523642455
2857.0,0.52734132
2863.0,0.531049095
2869.0,0.53476578
2875.0,0.538491375
2881.0,0.54222588
2887.0,0.545969295
2893.0,0.54972162
2899.0,0.553482855
2905.0,0.557253
2911.0,0.561032055
2917.0,0.56482002
2923.0,0.568616895
2929.0,0.57242268
2935.0,0.576237375
2941.0,0.58006098
2947.0,0.583893495
2953.0,0.58773492
2959.0,0.591585255
2965.0,0.5954445
2971.0,0.599312655
2977.0,0.60318972
2983.0,0.607075695
2989.0,0.61097058
2995.0,0.614874375
3001.0,0.61878708
3007.0,0.622708695
3013.0,0.62663922
3019.0,0.630578655
3025.0,0.634527
3031.0,0.638484255
3037.0,0.64245042
3043.0,0.646425495
3049.0,0.65040948
3055.0,0.654402375
3061.0,0.65840418
3067.0,0.662414895
3073.0,0.66643452
3079.0,0.670463055
3085.0,0.6745005
3091.0,0.678546855
3097.0,0.68260212
3103.0,0.686666295
3109.0,0.69073938
3115.0,0.694821375
3121.0,0.69891228
3127.0,0.703012095
3133.0,0.70712082
3139.0,0.711238455
3145.0,0.715365
3151.0,0.719500455
3157.0,0.72364482
3163.0,0.727798095
3169.0,0.73196028
3175.0,0.736131375
3181.0,0.74031138
3187.0,0.744500295
3193.0,0.74869812
3199.0,0.752904855
3205.0,0.7571205
3211.0,0.761345055
3217.0,0.76557852
3223.0,0.769820895
3229.0,0.77407218
3235.0,0.778332375
3241.0,0.78260148
3247.0,0.786879495
3253.0,0.79116642
3259.0,0.795462255
3265.0,0.799767
3271.0,0.804080655
3277.0,0.80840322
3283.0,0.812734695
3289.0,0.81707508
3295.0,0.821424375
3301.0,0.82578258
3307.0,0.830149695
3313.0,0.83452572
3319.0,0.838910655
3325.0,0.8433045
3331.0,0.847707255
3337.0,0.85211892
3343.0,0.856539495
3349.0,0.860967
3385.0,0.887535
3391.0,0.891963
3397.0,0.896391
3403.0,0.900819
3409.0,0.905247
3415.0,0.909675
3421.0,0.914103
3427.0,0.918531
3433.0,0.922959
3439.0,0.927387
3445.0,0.931815
3451.0,0.936243
3457.0,0.940671
3463.0,0.945099
3469.0,0.949527
3475.0,0.953955
3487.0,0.962811
3493.0,0.967239
3499.0,0.971667
3505.0,0.976095
3511.0,0.980523
3517.0,0.984951
3523.0,0.989379
3529.0,0.993807
3535.0,0.998235
3541.0,1.002663
3547.0,1.007091
3553.0,1.011519
3559.0,1.015947
3565.0,1.020375
3571.0,1.024803
3577.0,1.029231
3583.0,1.033659
3589.0,1.038087
3601.0,1.046943
3607.0,1.051371
3613.0,1.055799
3619.0,1.060227
3625.0,1.064655
3631.0,1.069083
3649.0,1.082367
3655.0,1.086795
3661.0,1.091223
3667.0,1.095651
3673.0,1.100079
3679.0,1.104507
3685.0,1.108935
3691.0,1.113363
3697.0,1.117791
3703.0,1.122219
3721.0,1.135503
3733.0,1.144359
3739.0,1.148787
3745.0,1.153215
3751.0,1.157643
3763.0,1.166499
3769.0,1.170927
3775.0,1.175355
3781.0,1.179783
3787.0,1.184211
3793.0,1.188639
3805.0,1.197495
3817.0,1.206351
3823.0,1.210779
3829.0,1.215207
3835.0,1.219635
3841.0,1.224063
3847.0,1.228491
3853.0,1.232919
3865.0,1.241775
3877.0,1.250631
3889.0,1.259487
3895.0,1.263915
3901.0,1.268343
3907.0,1.272771
3913.0,1.277199
3919.0,1.281627
3937.0,1.294911
3955.0,1.308195
3967.0,1.317051
3991.0,1.334763
3997.0,1.3391895945
4003.0,1.3436063503
4009.0,1.3480118618
4015.0,1.3524061292
4021.0,1.3567891523
4027.0,1.3611609312
4033.0,1.3655214659
4039.0,1.3698707564
4045.0,1.3742088027
4051.0,1.3785356048
4057.0,1.3828511626
4063.0,1.3871554762
4069.0,1.3914485456
4075.0,1.3957303708
4081.0,1.4000009518
4087.0,1.4042602886
4093.0,1.4085083811
4099.0,1.4127452294
4105.0,1.4169708335
4111.0,1.4211851934
4117.0,1.4253883091
4123.0,1.4295801806
4129.0,1.4337608078
4135.0,1.4379301909
4141.0,1.4420883297
4147.0,1.4462352243
4153.0,1.4503708747
4159.0,1.4544952808
4165.0,1.4586084428
4171.0,1.4627103605
4177.0,1.4668010341
4183.0,1.4708804634
4189.0,1.4749486485
4195.0,1.4790055893
4201.0,1.483051286
4207.0,1.4870857384
4213.0,1.4911089467
4219.0,1.4951209107
4225.0,1.4991216305
4231.0,1.503111106
4237.0,1.5070893374
4243.0,1.5110563246
4249.0,1.5150120675
4255.0,1.5189565662
4261.0,1.5228898207
4267.0,1.526811831
4273.0,1.530722597
4279.0,1.5346221189
4285.0,1.5385103965
4291.0,1.5423874299
4297.0,1.5462532192
4303.0,1.5501077641
4309.0,1.5539510649
4315.0,1.5577831215
4321.0,1.5616039338
4327.0,1.5654135019
4333.0,1.5692118258
4339.0,1.5729989055
4345.0,1.576774741
4351.0,1.5805393323
4357.0,1.5842926793
4363.0,1.5880347821
4369.0,1.5917656407
4375.0,1.5954852551
4381.0,1.5991936253
4387.0,1.6028907513
4393.0,1.606576633
4399.0,1.6102512706
4405.0,1.6139146639
4411.0,1.617566813
4417.0,1.6212077179
4423.0,1.6248373785
4429.0,1.628455795
4435.0,1.6320629672
4441.0,1.6356588952
4447.0,1.639243579
4453.0,1.6428170186
4459.0,1.646379214
4465.0,1.6499301652
4471.0,1.6534698721
4477.0,1.6569983348
4483.0,1.6605155533
4489.0,1.6640215276
4495.0,1.6675162577
4501.0,1.6709997436
4507.0,1.6744719852
