SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
2125.0,37.695
2131.0,38.10225
2137.0,38.514
2143.0,38.93025
2149.0,39.351
2155.0,39.77625
2161.0,40.206
2167.0,40.64025
2173.0,41.079
2179.0,41.52225
2185.0,41.97
2191.0,42.42225
2197.0,42.879
2203.0,43.34025
2209.0,43.806
2215.0,44.27625
2221.0,44.751
2227.0,45.23025
2233.0,45.714
2239.0,46.20225
2245.0,46.695
2251.0,47.19225
2257.0,47.694
2263.0,48.20025
2269.0,48.711
2275.0,49.22625
2281.0,49.746
2287.0,50.27025
2293.0,50.799
2299.0,51.33225
2305.0,51.87
2311.0,52.41225
2317.0,52.959
2323.0,53.51025
2329.0,54.066
2335.0,54.62625
2341.0,55.191
2347.0,55.76025
2353.0,56.334
2359.0,56.91225
2365.0,57.495
2371.0,58.08225
2377.0,58.674
2383.0,59.27025
2389.0,59.871
2395.0,60.47625
2401.0,61.086
2407.0,61.70025
2413.0,62.319
2419.0,62.94225
2425.0,63.57
2431.0,64.20225
2437.0,64.839
2443.0,65.48025
2449.0,66.126
2455.0,66.77625
2461.0,67.431
2467.0,68.09025
2473.0,68.754
2479.0,69.42225
2485.0,70.095
2491.0,70.77225
2497.0,71.454
2503.0,72.14025
2509.0,72.831
2515.0,73.52625
2521.0,74.226
2527.0,74.93025
2533.0,75.639
2539.0,76.35225
2545.0,77.07
2551.0,77.79099
2557.0,78.51396
2563.0,79.23891
2569.0,79.96584
2575.0,80.69475
2581.0,81.42564
2587.0,82.15851
2593.0,82.89336
2599.0,83.63019
2605.0,84.369
2611.0,85.10979
2617.0,85.85256
2623.0,86.59731
2629.0,87.34404
2635.0,88.09275
2641.0,88.84344
2647.0,89.59611
2653.0,90.35076
2659.0,91.10739
2665.0,91.866
2671.0,92.62659
2677.0,93.38916
2683.0,94.15371
2689.0,94.92024
2695.0,95.68875
2701.0,96.45924
2707.0,97.23171
2713.0,98.00616
2719.0,98.78259
2725.0,99.561
2731.0,100.34139
2737.0,101.12376
2743.0,101.90811
2749.0,102.69444
2755.0,103.48275
2761.0,104.27304
2767.0,105.06531
2773.0,105.85956
2779.0,106.65579
2785.0,107.454
2791.0,108.25419
2797.0,109.05636
2803.0,109.86051
2809.0,110.66664
2815.0,111.47475
2821.0,112.28484
2827.0,113.09691
2833.0,113.91096
2839.0,114.72699
2845.0,115.545
2851.0,116.36499
2857.0,117.18696
2863.0,118.01091
2869.0,118.83684
2875.0,119.66475
2881.0,120.49464
2887.0,121.32651
2893.0,122.16036
2899.0,122.99619
2905.0,123.834
2911.0,124.67379
2917.0,125.51556
2923.0,126.35931
2929.0,127.20504
2935.0,128.05275
2941.0,128.90244
2947.0,129.75411
2953.0,130.60776
2959.0,131.46339
2965.0,132.321
2971.0,133.18059
2977.0,134.04216
2983.0,134.90571
2989.0,135.77124
2995.0,136.63875
3001.0,137.50824
3007.0,138.37971
3013.0,139.25316
3019.0,140.12859
3025.0,141.006
3031.0,141.88539
3037.0,142.76676
3043.0,143.65011
3049.0,144.53544
3055.0,145.42275
3061.0,146.31204
3067.0,147.20331
3073.0,148.09656
3079.0,148.99179
3085.0,149.889
3091.0,150.78819
3097.0,151.68936
3103.0,152.59251
3109.0,153.49764
3115.0,154.40475
3121.0,155.31384
3127.0,156.22491
3133.0,157.13796
3139.0,158.05299
3145.0,158.97
3151.0,159.88899
3157.0,160.80996
3163.0,161.73291
3169.0,162.65784
3175.0,163.58475
3181.0,164.51364
3187.0,165.44451
3193.0,166.37736
3199.0,167.31219
3205.0,168.249
3211.0,169.18779
3217.0,170.12856
3223.0,171.07131
3229.0,172.01604
3235.0,172.96275
3241.0,173.91144
3247.0,174.86211
3253.0,175.81476
