SPSBEAM/GAMMA,SPSBEAM/GAMMA
X,Y
2486.0,129.23434312693948
2492.0,130.18257689311721
2498.0,131.13315985421332
2504.0,132.0860920043878
2510.0,133.04137333803925
2516.0,133.99900384958758
2522.0,134.95898353347076
2528.0,135.92131238435442
2534.0,136.88599039712852
2540.0,137.8530175665844
2546.0,138.822393887838
2552.0,139.79411935590045
2558.0,140.7681939661017
2564.0,141.74461771366097
2570.0,142.72339059411084
2576.0,143.7045126028677
2582.0,144.68798373554955
2588.0,145.67380398797306
2594.0,146.66197335593807
2600.0,147.65249183511898
2606.0,148.64535942180814
2612.0,149.6405761118482
2618.0,150.63814190137575
2624.0,151.638056786713
2630.0,152.64032076404575
2636.0,153.64493382984801
2642.0,154.65189598045365
2648.0,155.66120721237434
2654.0,156.67286752229782
2660.0,157.68687690687307
2666.0,158.70323536270857
2672.0,159.7219428865838
2678.0,160.7429994754479
2684.0,161.7664051262047
2690.0,162.79215983571132
2696.0,163.8202636009901
2702.0,164.85071641922696
2708.0,165.88351828745039
2714.0,166.91866920295644
2720.0,167.9561691628812
2726.0,168.99601816451917
2732.0,170.03821620532216
2738.0,171.08276328268488
2744.0,172.12965939394383
2750.0,173.17890453658927
2756.0,174.23049870826432
2762.0,175.28444190655063
2768.0,176.34073412896726
2774.0,177.39937537318306
2780.0,178.46036563701557
2786.0,179.52370491811024
2792.0,180.5893932143662
2798.0,181.65743052350845
2804.0,182.72781684340745
2810.0,183.80055217207763
2816.0,184.8756365074638
2822.0,185.95306984744022
2828.0,187.03285219002288
2834.0,188.11498353336899
2840.0,189.19946387556283
2846.0,190.28629321461514
2852.0,191.37547154867562
2858.0,192.46699887603205
2864.0,193.5603532338266
2888.0,197.93429424759563
2894.0,199.02777989307393
2906.0,201.21475163657786
2930.0,205.58869686637823
2936.0,206.6821835234635
2942.0,207.77567031598667
2948.0,208.86915724182057
2960.0,211.0561314851324
2966.0,212.14961879857302
2972.0,213.24310623724753
2978.0,214.3365937992392
2984.0,215.4300814826703
2996.0,217.61705720652805
3008.0,219.80403339453994
3014.0,220.89752165829557
3020.0,221.99101003298793
3032.0,224.17798710868936
3044.0,226.36496460897087
3050.0,227.45845351450203
3056.0,228.55194252164424
3068.0,230.73892083498336
3080.0,232.92589953770243
3086.0,234.01938903166806
3092.0,235.11287861893572
3098.0,236.20636829820964
3104.0,237.2998580682179
3122.0,240.58032791027648
3128.0,241.67381803096183
3134.0,242.7673082363616
3140.0,243.86079852533612
3152.0,246.04777934955266
3158.0,247.14126988261526
3164.0,248.23476049489338
3170.0,249.3282511853447
3176.0,250.42174195294515
3188.0,252.60872371558588
3194.0,253.7022147086656
3200.0,254.7957057749725
3206.0,255.88919691356787
3224.0,259.16967075393467
3230.0,260.26316217261063
3242.0,262.4501452125979
3248.0,263.5436368322275
3254.0,264.63712851718327
3260.0,265.7306202666587
3266.0,266.82411207986064
