SPSBEAM/ETA,SPSBEAM/ETA
X,Y
3032.0,0.001838009
3044.0,0.0018383917
3050.0,0.0018385789
3056.0,0.0018387634
3068.0,0.0018391245
3080.0,0.0018394756
3086.0,0.0018396474
3092.0,0.0018398169
3098.0,0.001839984
3104.0,0.0018401488
3122.0,0.0018406298
3128.0,0.0018407858
3134.0,0.0018409397
3140.0,0.0018410915
3152.0,0.0018413891
3158.0,0.001841535
3164.0,0.0018416789
3170.0,0.0018418209
3176.0,0.0018419611
3188.0,0.001842236
3194.0,0.0018423708
3200.0,0.0018425039
3206.0,0.0018426352
3224.0,0.0018430194
3230.0,0.0018431443
3242.0,0.0018433893
3248.0,0.0018435095
3254.0,0.0018436282
3260.0,0.0018437455
3266.0,0.0018438613
3272.0,0.0018439758
3278.0,0.0018440888
3302.0,0.0018445274
3314.0,0.001844739
3326.0,0.0018449455
3332.0,0.001845047
3338.0,0.0018451472
3350.0,0.0018453443
3374.0,0.0018457249
3386.0,0.0018459088
3392.0,0.0018459992
3398.0,0.0018460886
3404.0,0.0018461769
3410.0,0.0018462643
3416.0,0.0018463507
3422.0,0.0018464361
3428.0,0.0018465206
3434.0,0.0018466042
3452.0,0.0018468495
3464.0,0.0018470086
3482.0,0.0018472408
3494.0,0.0018473916
3500.0,0.0018474658
3506.0,0.001847539
3512.0,0.0018476113
3518.0,0.0018476825
3524.0,0.0018477528
3530.0,0.0018478221
3536.0,0.0018478904
3542.0,0.0018479578
3548.0,0.0018480243
3554.0,0.0018480899
3560.0,0.0018481546
3566.0,0.0018482185
3572.0,0.0018482815
3578.0,0.0018483436
3584.0,0.0018484049
3590.0,0.0018484654
3596.0,0.0018485252
3602.0,0.0018485841
3608.0,0.0018486423
3614.0,0.0018486997
3620.0,0.0018487563
3626.0,0.0018488122
3632.0,0.0018488675
3638.0,0.001848922
3644.0,0.0018489758
3650.0,0.0018490289
3656.0,0.0018490813
3662.0,0.0018491331
3668.0,0.0018491842
3674.0,0.0018492347
3680.0,0.0018492846
3686.0,0.0018493338
3692.0,0.0018493824
3698.0,0.0018494305
3704.0,0.0018494779
3710.0,0.0018495247
3716.0,0.001849571
3722.0,0.0018496167
3728.0,0.0018496619
3734.0,0.0018497065
3740.0,0.0018497505
3746.0,0.0018497941
3752.0,0.0018498371
3758.0,0.0018498796
3764.0,0.0018499216
3770.0,0.001849963
3776.0,0.001850004
3782.0,0.0018500445
3788.0,0.0018500846
3794.0,0.0018501241
3800.0,0.0018501632
3806.0,0.0018502019
3812.0,0.00185024
3818.0,0.0018502778
3824.0,0.0018503151
3830.0,0.0018503519
3836.0,0.0018503884
3842.0,0.0018504244
3848.0,0.00185046
3854.0,0.0018504952
3860.0,0.00185053
3866.0,0.0018505644
3872.0,0.0018505984
3878.0,0.001850632
3884.0,0.0018506653
3890.0,0.0018506981
3896.0,0.0018507306
3902.0,0.0018507628
3908.0,0.0018507945
3914.0,0.0018508259
3920.0,0.001850857
3926.0,0.0018508877
3932.0,0.0018509181
3938.0,0.0018509481
3944.0,0.0018509778
3950.0,0.0018510072
3956.0,0.0018510362
3962.0,0.0018510649
3968.0,0.0018510934
3974.0,0.0018511215
3980.0,0.0018511492
3986.0,0.0018511767
3992.0,0.0018512039
3998.0,0.0018512308
4004.0,0.0018512574
4010.0,0.0018512837
4016.0,0.0018513097
4022.0,0.0018513355
4028.0,0.0018513609
4034.0,0.0018513861
4040.0,0.001851411
4046.0,0.0018514357
4052.0,0.00185146
4058.0,0.0018514841
4064.0,0.001851508
4070.0,0.0018515316
4076.0,0.0018515548
4082.0,0.0018515778
4088.0,0.0018516006
4094.0,0.001851623
4100.0,0.0018516452
4106.0,0.0018516671
4112.0,0.0018516888
4118.0,0.0018517102
4124.0,0.0018517314
4130.0,0.0018517523
4136.0,0.0018517729
4142.0,0.0018517933
4148.0,0.0018518134
4154.0,0.0018518334
4160.0,0.001851853
4166.0,0.0018518725
4172.0,0.0018518917
4178.0,0.0018519106
4184.0,0.0018519294
4190.0,0.0018519479
4196.0,0.0018519662
4202.0,0.0018519843
4208.0,0.0018520021
4214.0,0.0018520198
4220.0,0.0018520372
4226.0,0.0018520544
4232.0,0.0018520714
4238.0,0.0018520882
4244.0,0.0018521048
4250.0,0.0018521212
4256.0,0.0018521374
4262.0,0.0018521533
4268.0,0.0018521689
4274.0,0.0018521838
4280.0,0.0018521983
4286.0,0.0018522122
