SPSBEAM/B,SPSBEAM/B
X,Y
2840.0,0.79883137
2846.0,0.8034202707
2852.0,0.8080190888
2858.0,0.8126278244
2864.0,0.8172442734
2888.0,0.8357122734
2894.0,0.8403292734
2906.0,0.8495632734
2930.0,0.8680312734
2936.0,0.8726482734
2942.0,0.8772652734
2948.0,0.8818822734
2960.0,0.8911162734
2966.0,0.8957332734
2972.0,0.9003502734
2978.0,0.9049672734
2984.0,0.9095842734
2996.0,0.9188182734
3008.0,0.9280522734
3014.0,0.9326692734
3020.0,0.9372862734
3032.0,0.9465202734
3044.0,0.9557542734
3050.0,0.9603712734
3056.0,0.9649882734
3068.0,0.9742222734
3080.0,0.9834562734
3086.0,0.9880732734
3092.0,0.9926902734
3098.0,0.9973072734
3104.0,1.0019242734
3122.0,1.0157752734
3128.0,1.0203922734
3134.0,1.0250092734
3140.0,1.0296262734
3152.0,1.0388602734
3158.0,1.0434772734
3164.0,1.0480942734
3170.0,1.0527112734
3176.0,1.0573282734
3188.0,1.0665622734
3194.0,1.0711792734
3200.0,1.0757962734
3206.0,1.0804132734
3224.0,1.0942642734
3230.0,1.0988812734
3242.0,1.1081152734
3248.0,1.1127322734
3254.0,1.1173492734
3260.0,1.1219662734
3266.0,1.1265832734
3272.0,1.1312002734
3278.0,1.1358172734
3302.0,1.1542852734
3314.0,1.1635192734
3326.0,1.1727532734
3332.0,1.1773702734
3338.0,1.1819872734
3350.0,1.1912212734
3374.0,1.2096892734
3386.0,1.2189232734
3392.0,1.2235402734
3398.0,1.2281572734
3404.0,1.2327742734
3410.0,1.2373912734
3416.0,1.2420082734
3422.0,1.2466252734
3428.0,1.2512422734
3434.0,1.2558592734
3452.0,1.2697102734
3464.0,1.2789442734
3482.0,1.2927952734
3494.0,1.3020292734
3500.0,1.3066462734
3506.0,1.3112551734
3512.0,1.3158478734
3518.0,1.3204243734
3524.0,1.3249846734
3530.0,1.3295287734
3536.0,1.3340566734
3542.0,1.3385683734
3548.0,1.3430638734
3554.0,1.3475431734
3560.0,1.3520062734
3566.0,1.3564531734
3572.0,1.3608838734
3578.0,1.3652983734
3584.0,1.3696966734
3590.0,1.3740787734
3596.0,1.3784446734
3602.0,1.3827943734
3608.0,1.3871278734
3614.0,1.3914451734
3620.0,1.3957462734
3626.0,1.4000311734
3632.0,1.4042998734
3638.0,1.4085523734
3644.0,1.4127886734
3650.0,1.4170087734
3656.0,1.4212126734
3662.0,1.4254003734
3668.0,1.4295718734
3674.0,1.4337271734
3680.0,1.4378662734
3686.0,1.4419891734
3692.0,1.4460958734
3698.0,1.4501863734
3704.0,1.4542606734
3710.0,1.4583187734
3716.0,1.4623606734
3722.0,1.4663863734
3728.0,1.4703958734
3734.0,1.4743891734
3740.0,1.4783662734
3746.0,1.4823271734
3752.0,1.4862718734
3758.0,1.4902003734
3764.0,1.4941126734
3770.0,1.4980087734
3776.0,1.5018886734
3782.0,1.5057523734
3788.0,1.5095998734
3794.0,1.5134311734
3800.0,1.5172462734
3806.0,1.5210451734
3812.0,1.5248278734
3818.0,1.5285943734
3824.0,1.5323446734
3830.0,1.5360787734
3836.0,1.5397966734
3842.0,1.5434983734
3848.0,1.5471838734
3854.0,1.5508531734
3860.0,1.5545062734
3866.0,1.5581431734
3872.0,1.5617638734
3878.0,1.5653683734
3884.0,1.5689566734
3890.0,1.5725287734
3896.0,1.5760846734
3902.0,1.5796243734
3908.0,1.5831478734
3914.0,1.5866551734
3920.0,1.5901462734
3926.0,1.5936211734
3932.0,1.5970798734
3938.0,1.6005223734
3944.0,1.6039486734
3950.0,1.6073587734
3956.0,1.6107526734
3962.0,1.6141303734
3968.0,1.6174918734
3974.0,1.6208371734
3980.0,1.6241662734
3986.0,1.6274791734
3992.0,1.6307758734
3998.0,1.6340563734
4004.0,1.6373206734
4010.0,1.6405687734
4016.0,1.6438006734
4022.0,1.6470163734
4028.0,1.6502158734
4034.0,1.6533991734
4040.0,1.6565662734
4046.0,1.6597171734
