SPSBEAM/GAMMA,SPSBEAM/GAMMA
X,Y
1711.0,17.404516496284998
1717.0,17.49763150231634
1723.0,17.592267293961896
1729.0,17.688424085045675
1735.0,17.786102086400657
1741.0,17.88530150576991
1747.0,17.986148769014587
1753.0,18.090285098141358
1759.0,18.19821602926935
1765.0,18.30994225256641
1771.0,18.425464460290794
1777.0,18.54478334531135
1783.0,18.66789959967958
1789.0,18.79481391325748
1795.0,18.92552697240444
1801.0,19.06003945872602
1807.0,19.198352047886996
1813.0,19.340465408490495
1819.0,19.486380201024623
1825.0,19.636097076877565
1831.0,19.789616677421712
1837.0,19.946939633166906
1843.0,20.108066562982618
1849.0,20.272998073388496
1855.0,20.4417347579123
1861.0,20.614277196514166
1867.0,20.790625955075615
1873.0,20.970781584951702
1879.0,21.154744622584385
1885.0,21.34251558917503
1891.0,21.534094990413806
1897.0,21.729483316263636
1903.0,21.928681040796192
1909.0,22.13168862207746
1915.0,22.338506502100156
1921.0,22.549135106760453
1927.0,22.763574845876263
1933.0,22.98182611324447
1939.0,23.203889286734373
1945.0,23.4297647284148
1951.0,23.659452784712204
1957.0,23.892953786597356
1963.0,24.13026804979786
1969.0,24.3713958750345
1975.0,24.616337548278683
1981.0,24.865093341029
1987.0,25.117663510604668
1993.0,25.374048300453747
1999.0,25.634247940474243
2005.0,25.898262647346165
2011.0,26.16609262487283
2017.0,26.437738064329732
2023.0,26.713199144819328
2029.0,26.99247603363045
2035.0,27.275568886600787
2041.0,27.562477848481276
2047.0,27.853203053301222
2053.0,28.147744624732983
2059.0,28.446102676455357
2065.0,28.74827731251454
2071.0,29.054268627682095
2077.0,29.36407670780896
2083.0,29.67770163017494
2089.0,29.995143463832964
2095.0,30.316402269947737
2101.0,30.641478102128115
2107.0,30.97037100675294
2113.0,31.30308102328989
2119.0,31.63960818460708
2125.0,31.979952517277106
2131.0,32.32411404187342
2137.0,32.67209277325875
2143.0,33.02388872086543
2149.0,33.37950188896774
2155.0,33.738932276945995
2161.0,34.102179879542355
2167.0,34.46924468710848
2173.0,34.84012668584502
2179.0,35.21482585803289
2185.0,35.593342182256464
2191.0,35.97567563361884
2197.0,36.36182618394917
2203.0,36.751793802002204
2209.0,37.145578453650195
2215.0,37.543180102067296
2221.0,37.944598707906614
2227.0,38.3498342294701
2233.0,38.75888662287129
2239.0,39.1717558421913
2245.0,39.58844183962817
2251.0,40.008944565639474
2257.0,40.4332639690789
2263.0,40.8613999973265
2269.0,41.29335259641306
2275.0,41.72912171113862
2281.0,42.168707285185555
2287.0,42.6121092612261
2293.0,43.05932758102475
2299.0,43.51036218553558
2305.0,43.965213014994724
2311.0,44.42388000900814
2317.0,44.886363106634946
2323.0,45.352662246466274
2329.0,45.82277736670007
2335.0,46.29670840521183
2341.0,46.774455299621486
2347.0,47.256017987356564
2353.0,47.741396405711924
2359.0,48.23059049190581
2365.0,48.72360018313302
2371.0,49.22042541661467
2377.0,49.72106612964503
2383.0,50.225522259635625
2389.0,50.73379374415648
2395.0,51.245880520974765
2401.0,51.76178252809108
2407.0,52.28149970377316
2413.0,52.80503198658749
2419.0,53.332379315428696
2425.0,53.86354162954685
2431.0,54.39851886857286
2437.0,54.937310972541994
2443.0,55.47991788191558
2449.0,56.02633953760113
2455.0,56.57657588097067
2461.0,57.130626853877814
2467.0,57.688492398673134
2473.0,58.25017245821832
2479.0,58.815666975899056
2485.0,59.38497589563644
2491.0,59.958099161897636
2497.0,60.53503671970498
2503.0,61.115788514644414
2509.0,61.700354492872705
2515.0,62.28873460112375
2521.0,62.8809287867142
2527.0,63.476936997548
2533.0,64.07675918212027
2539.0,64.68039528952049
2545.0,65.28784526943485
2551.0,65.89804268833407
2557.0,66.5099210771832
2563.0,67.12348033517797
2569.0,67.73872036451436
2575.0,68.35564107027808
2581.0,68.97424236033875
2587.0,69.59452414524883
2593.0,70.21648633814671
2599.0,70.84012885466439
2605.0,71.46545161283845
2611.0,72.09245453302537
2617.0,72.72113753782017
2623.0,73.35150055197843
2629.0,73.98354350234156
2635.0,74.61726631776519
2641.0,75.25266892905043
2647.0,75.88975126887807
2653.0,76.5285132717452
2659.0,77.16895487390454
2665.0,77.81107601330613
2671.0,78.45487662954139
2677.0,79.10035666378921
2683.0,79.74751605876438
2689.0,80.39635475866783
2695.0,81.04687270913881
2701.0,81.69906985720918
2707.0,82.3529461512589
2713.0,83.00850154097368
2719.0,83.66573597730405
2725.0,84.32464941242597
2731.0,84.98524179970276
2737.0,85.64751309364883
2743.0,86.31146324989415
2749.0,86.97709222515064
2755.0,87.6443999771793
2761.0,88.31338646475876
2767.0,88.98405164765497
2773.0,89.65639548659169
2779.0,90.33041794322249
2785.0,91.00611898010327
2791.0,91.68349856066614
2797.0,92.36255664919376
2803.0,93.04329321079513
2809.0,93.72570821138159
2815.0,94.40980161764426
2821.0,95.09557339703167
2827.0,95.78302351772858
2833.0,96.4721519486353
2839.0,97.16295865934777
2845.0,97.85544362013822
2851.0,98.54960680193665
2857.0,99.24544817631255
2863.0,99.94296771545783
2869.0,100.64216539216967
2875.0,101.34304117983424
2881.0,102.04559505241092
2887.0,102.74982698441706
2893.0,103.45573695091309
2899.0,104.16332492748823
2905.0,104.87259089024657
2911.0,105.58353481579354
2917.0,106.2961566812231
2923.0,107.01045646410488
2929.0,107.72643414247203
