TWC_200/BUCKET_AREA_CALC,TWC_200/BUCKET_AREA_CALC
X,Y
10051.0,0.65
10063.0,0.65
10075.0,0.65
10087.0,0.65
10099.0,0.65
10111.0,0.65
10123.0,0.65
10135.0,0.65
10147.0,0.65
10159.0,0.65
10171.0,0.65
10183.0,0.65
10195.0,0.65
10207.0,0.65
10219.0,0.65
10231.0,0.65
10243.0,0.65
10255.0,0.65
10267.0,0.65
10279.0,0.65
10291.0,0.65
10303.0,0.65
10315.0,0.65
10327.0,0.65
10339.0,0.65
10351.0,0.65
10363.0,0.65
10375.0,0.65
10387.0,0.65
10399.0,0.65
10411.0,0.65
10423.0,0.65
10435.0,0.65
10447.0,0.65
10459.0,0.65
10471.0,0.65
10483.0,0.65
10495.0,0.65
10507.0,0.65
10519.0,0.65
10531.0,0.65
10543.0,0.65
10555.0,0.65
10567.0,0.65
10579.0,0.65
10591.0,0.65
10603.0,0.65
10615.0,0.65
10627.0,0.65
10639.0,0.65
10651.0,0.65
10663.0,0.65
10675.0,0.65
10687.0,0.65
10699.0,0.65
10711.0,0.65
10723.0,0.65
10735.0,0.65
10747.0,0.65
10759.0,0.65
10771.0,0.65
10783.0,0.65
10795.0,0.65
10807.0,0.65
10819.0,0.65
10831.0,0.65
10843.0,0.65
10855.0,0.65
10867.0,0.65
10879.0,0.65
10891.0,0.65
10903.0,0.65
10915.0,0.65
10927.0,0.65
10939.0,0.65
10951.0,0.65
10963.0,0.65
10975.0,0.65
10987.0,0.65
10999.0,0.65
11011.0,0.65
11023.0,0.65
11035.0,0.65
11047.0,0.65
11059.0,0.65
11071.0,0.65
11083.0,0.65
11095.0,0.651
11107.0,0.651
11119.0,0.651
11131.0,0.651
11143.0,0.651
11155.0,0.651
11167.0,0.651
11179.0,0.652
11191.0,0.652
11203.0,0.652
11215.0,0.652
11227.0,0.652
11239.0,0.653
11251.0,0.653
11263.0,0.653
11275.0,0.653
11287.0,0.654
11299.0,0.654
11311.0,0.654
11323.0,0.654
11335.0,0.655
11347.0,0.655
11359.0,0.655
11371.0,0.656
11383.0,0.656
11395.0,0.656
11407.0,0.656
11419.0,0.657
11431.0,0.657
11443.0,0.657
11455.0,0.658
11467.0,0.658
11479.0,0.658
11491.0,0.659
11503.0,0.659
11515.0,0.659
11527.0,0.66
11539.0,0.66
11551.0,0.66
11563.0,0.661
11575.0,0.661
11587.0,0.662
11599.0,0.662
11611.0,0.662
11623.0,0.663
11635.0,0.663
11647.0,0.663
11659.0,0.664
11671.0,0.664
11683.0,0.665
11695.0,0.665
11707.0,0.665
11719.0,0.666
11731.0,0.666
11743.0,0.667
11755.0,0.667
11767.0,0.667
11779.0,0.668
11791.0,0.668
11803.0,0.669
11815.0,0.669
11827.0,0.669
11839.0,0.67
11851.0,0.67
11863.0,0.671
11875.0,0.671
11887.0,0.671
11899.0,0.672
11911.0,0.672
11923.0,0.673
11935.0,0.673
11947.0,0.674
11959.0,0.674
11971.0,0.674
11983.0,0.675
11995.0,0.675
12007.0,0.676
