SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
11279.0,26.1764
11285.0,26.2025
11291.0,26.2304
11297.0,26.2601
11303.0,26.2916
11309.0,26.3249
11315.0,26.36
11321.0,26.3969
11327.0,26.4356
11333.0,26.4761
11339.0,26.5184
11345.0,26.5625
11351.0,26.6084
11357.0,26.6561
11363.0,26.7056
11369.0,26.7569
11375.0,26.81
11381.0,26.8649
11387.0,26.9216
11393.0,26.9801
11399.0,27.0404
11405.0,27.1025
11411.0,27.1664
11417.0,27.2321
11423.0,27.2996
11429.0,27.3689
11435.0,27.44
11441.0,27.5129
11447.0,27.5876
11453.0,27.6641
11459.0,27.7424
11465.0,27.8225
11471.0,27.9044
11477.0,27.9881
11483.0,28.0736
11489.0,28.1609
11495.0,28.25
11501.0,28.3409
11507.0,28.4336
11513.0,28.5281
11519.0,28.6244
11525.0,28.7225
11531.0,28.8224
11537.0,28.9241
11543.0,29.0276
11549.0,29.1329
11555.0,29.24
11561.0,29.3489
11567.0,29.4596
11573.0,29.5721
11579.0,29.6864
11585.0,29.8025
11591.0,29.9204
11597.0,30.04025
11603.0,30.164
11609.0,30.29225
11615.0,30.425
11621.0,30.56225
11627.0,30.704
11633.0,30.85025
11639.0,31.001
11645.0,31.15625
11651.0,31.316
11657.0,31.48025
11663.0,31.649
11669.0,31.82225
11675.0,32.0
11681.0,32.18225
11687.0,32.369
11693.0,32.56025
11699.0,32.756
11705.0,32.95625
11711.0,33.161
11717.0,33.37025
11723.0,33.584
11729.0,33.80225
11735.0,34.025
11741.0,34.25225
11747.0,34.484
11753.0,34.72025
11759.0,34.961
11765.0,35.20625
11771.0,35.456
11777.0,35.71025
11783.0,35.969
11789.0,36.23225
11795.0,36.5
11801.0,36.77225
11807.0,37.049
11813.0,37.33025
11819.0,37.616
11825.0,37.90625
11831.0,38.201
11837.0,38.50025
11843.0,38.804
11849.0,39.11225
11855.0,39.425
11861.0,39.74225
11867.0,40.064
11873.0,40.39025
11879.0,40.721
11885.0,41.05625
11891.0,41.396
11897.0,41.74025
11903.0,42.089
11909.0,42.44225
11915.0,42.8
11921.0,43.16225
11927.0,43.529
11933.0,43.90025
11939.0,44.276
11945.0,44.65625
11951.0,45.041
11957.0,45.43025
11963.0,45.824
11969.0,46.22225
11975.0,46.625
11981.0,47.03225
11987.0,47.444
11993.0,47.86025
11999.0,48.281
12005.0,48.70625
12011.0,49.136
12017.0,49.57025
12023.0,50.009
12029.0,50.45225
12035.0,50.9
12041.0,51.35225
12047.0,51.809
12053.0,52.27025
12059.0,52.736
12065.0,53.20625
12071.0,53.681
12077.0,54.16025
12083.0,54.644
12089.0,55.13225
12095.0,55.625
12101.0,56.12225
12107.0,56.624
12113.0,57.13025
12119.0,57.641
12125.0,58.15625
12131.0,58.676
12137.0,59.20025
12143.0,59.729
12149.0,60.26225
12155.0,60.8
12161.0,61.34225
12167.0,61.889
12173.0,62.44025
12179.0,62.996
12185.0,63.55625
12191.0,64.121
12197.0,64.69025
12203.0,65.264
12209.0,65.84225
12215.0,66.425
12221.0,67.01225
12227.0,67.604
12233.0,68.20025
12239.0,68.801
12245.0,69.40625
12251.0,70.016
12257.0,70.63025
12263.0,71.249
12269.0,71.87225
12275.0,72.5
12281.0,73.13225
12287.0,73.769
12293.0,74.41025
12299.0,75.056
12305.0,75.70625
12311.0,76.361
12317.0,77.02025
12323.0,77.684
12329.0,78.35225
12335.0,79.025
12341.0,79.70225
12347.0,80.384
12353.0,81.07025
12359.0,81.761
12365.0,82.45625
12371.0,83.156
12377.0,83.86025
12383.0,84.569
12389.0,85.28225
12395.0,86.0
12401.0,86.72099
12407.0,87.44396
12413.0,88.16891
12419.0,88.89584
12425.0,89.62475
