STABLE_PHASE,STABLE_PHASE
X,Y
5160.0,179.96
5210.0,179.964
5260.0,179.962
5310.0,179.965
5460.0,179.966
5560.0,179.968
5710.0,179.97
5885.0,179.971
5960.0,179.972
6010.0,179.971
6160.0,179.973
6210.0,179.971
6260.0,179.972
6335.0,179.972
6360.0,179.973
6485.0,179.972
6560.0,179.971
6610.0,179.973
6660.0,179.971
6710.0,179.973
6760.0,179.972
6860.0,179.971
6910.0,179.972
6960.0,179.97
7010.0,179.973
7060.0,179.97
7110.0,179.971
7160.0,179.969
7210.0,179.972
7260.0,179.97
7360.0,179.971
7410.0,179.969
7560.0,179.97
7610.0,179.969
7685.0,179.969
7810.0,179.969
7860.0,179.97
8010.0,179.971
8135.0,179.973
8160.0,179.971
8260.0,179.973
8310.0,179.972
8410.0,179.969
8435.0,179.972
8510.0,179.97
8585.0,179.969
8660.0,179.966
8710.0,179.968
8760.0,179.964
8810.0,179.962
8860.0,179.957
8885.0,179.959
8910.0,179.953
8960.0,179.943
9010.0,179.938
9035.0,179.941
9060.0,179.927
9110.0,179.899
9160.0,179.874
9235.0,178.432
9240.0,180.0
9245.0,0.0
10800.0,0.0
