SPSBEAM/BDot,SPSBEAM/BDot
X,Y
11611.0,0.19657251
11623.0,0.19788957
11647.0,0.20052369
11659.0,0.20184075
11671.0,0.20315781
11683.0,0.20447487
11695.0,0.20579193
11707.0,0.20710899
11731.0,0.20974311
11743.0,0.21106017
11755.0,0.21237723
11767.0,0.21369429
11779.0,0.21501135
11791.0,0.21632841
11803.0,0.21764547
11815.0,0.21896253
11827.0,0.22027959
11839.0,0.22159665
11851.0,0.22291371
11863.0,0.22423077
11875.0,0.22554783
11887.0,0.22686489
11899.0,0.22818195
11935.0,0.23213313
11947.0,0.23345019
11959.0,0.23476725
11971.0,0.23608431
11983.0,0.23740137
11995.0,0.23871843
12007.0,0.24003549
12019.0,0.24135255
12031.0,0.24266961
12043.0,0.24398667
12055.0,0.24530373
12067.0,0.24662079
12079.0,0.24793785
12091.0,0.24925491
12103.0,0.25057197
12115.0,0.25188903
12139.0,0.25452315
12151.0,0.25584021
12163.0,0.25715727
12175.0,0.25847433
12187.0,0.25979139
12199.0,0.26110845
12211.0,0.26242551
12235.0,0.26505963
12247.0,0.26637669
12259.0,0.26769375
12271.0,0.26901081
12283.0,0.27032787
12295.0,0.27164493
12307.0,0.27296199
12319.0,0.27427905
12331.0,0.27559611
12343.0,0.27691317
12367.0,0.27954729
12379.0,0.28086435
12403.0,0.28349847
12415.0,0.28481553
12427.0,0.28613259
12451.0,0.28876671
12463.0,0.29008377
12475.0,0.29140083
12499.0,0.29403495
12511.0,0.29535201
12523.0,0.29666907
12535.0,0.29798613
12547.0,0.29930319
12559.0,0.30062025
12571.0,0.30193731
12595.0,0.30457143
12607.0,0.30588849
12619.0,0.30720555
12631.0,0.30852261
12643.0,0.30983967
12655.0,0.31115673
12667.0,0.31247379
12679.0,0.31379085
12691.0,0.31510791
12703.0,0.31642497
12715.0,0.31774203
12727.0,0.31905909
12739.0,0.32037615
12751.0,0.32169321
12763.0,0.32301027
12775.0,0.32432733
12787.0,0.32564439
12799.0,0.32696145
12811.0,0.32827851
12823.0,0.32959557
12835.0,0.33091263
12847.0,0.33222969
12859.0,0.33354675
12871.0,0.33486381
12883.0,0.33618087
12895.0,0.33749793
12907.0,0.33881499
12919.0,0.34013205
12931.0,0.34144911
12943.0,0.34276617
12955.0,0.34408323
12967.0,0.34540029
12979.0,0.34671735
12991.0,0.34803441
13003.0,0.34935147
13015.0,0.35001
16135.0,0.35001
16207.0,0.3497868936
16219.0,0.3466634036
16231.0,0.3426474879
16243.0,0.3386315722
16255.0,0.3346156565
16267.0,0.3305997408
16279.0,0.3265838251
16291.0,0.3225679094
16303.0,0.3185519937
16315.0,0.314536078
16327.0,0.3105201623
16339.0,0.3065042466
16351.0,0.3024883309
16363.0,0.2984724152
16375.0,0.2944564995
16387.0,0.2904405838
16399.0,0.2864246681
16411.0,0.2824087524
16423.0,0.2783928367
16435.0,0.274376921
16447.0,0.2703610053
16459.0,0.2663450896
16471.0,0.262329174
16483.0,0.2583132583
16495.0,0.2542973426
16507.0,0.2502814269
16519.0,0.2462655112
16531.0,0.2422495955
16543.0,0.2382336798
16555.0,0.2342177641
16567.0,0.2302018484
16579.0,0.2261859327
16591.0,0.222170017
16603.0,0.2181541013
16615.0,0.212320548
16627.0,0.2046693571
16639.0,0.1970181661
16651.0,0.1893669752
16663.0,0.1817157843
16675.0,0.1740645934
16687.0,0.1664134025
16699.0,0.1587622116
16711.0,0.1511110206
16735.0,0.1358086388
16747.0,0.1281574479
16759.0,0.120506257
16771.0,0.112855066
16795.0,0.0975526842
16807.0,0.0899014933
16819.0,0.0822503024
16831.0,0.0745991115
16843.0,0.0669479205
16855.0,0.0592967296
16867.0,0.0516455387
16879.0,0.0439943478
16891.0,0.0363431569
16903.0,0.0286919659
16915.0,0.021040775
16927.0,0.0133895841
16939.0,0.0057383932
16951.0,9.563989E-4
16954.0,0.0
17454.0,0.0
,
,
