SPSBEAM/ETA,SPSBEAM/ETA
X,Y
1915.0,-8.03036E-5
1921.0,-4.30407E-5
1927.0,-6.1612E-6
1933.0,3.03187E-5
1939.0,6.63843E-5
1945.0,1.020221E-4
1951.0,1.372199E-4
1957.0,1.719665E-4
1963.0,2.06252E-4
1969.0,2.400678E-4
1975.0,2.73406E-4
1981.0,3.0626E-4
1987.0,3.386241E-4
1993.0,3.704935E-4
1999.0,4.018644E-4
2005.0,4.327337E-4
2011.0,4.630992E-4
2017.0,4.929595E-4
2023.0,5.223137E-4
2029.0,5.511619E-4
2035.0,5.795045E-4
2041.0,6.073427E-4
2047.0,6.346783E-4
2053.0,6.615135E-4
2059.0,6.87851E-4
2065.0,7.13694E-4
2071.0,7.39046E-4
2077.0,7.63911E-4
2083.0,7.882934E-4
2089.0,8.121979E-4
2095.0,8.356293E-4
2101.0,8.585929E-4
2107.0,8.810941E-4
2113.0,9.031387E-4
2119.0,9.247325E-4
2125.0,9.458816E-4
2131.0,9.665921E-4
2137.0,9.868705E-4
2143.0,0.0010067232
2149.0,0.0010261568
2155.0,0.0010451778
2161.0,0.001063793
2167.0,0.0010820093
2173.0,0.0010998332
2179.0,0.0011172718
2185.0,0.0011343318
2191.0,0.0011510201
2197.0,0.0011673435
2203.0,0.0011833089
2209.0,0.001198923
2215.0,0.0012141925
2221.0,0.0012291243
2227.0,0.001243725
2233.0,0.0012580012
2239.0,0.0012719595
2245.0,0.0012856064
2251.0,0.0012989482
2257.0,0.0013119915
2263.0,0.0013247423
2269.0,0.001337207
2275.0,0.0013493917
2281.0,0.0013613023
2287.0,0.0013729449
2293.0,0.0013843252
2299.0,0.0013954491
2305.0,0.0014063222
2311.0,0.00141695
2317.0,0.0014273381
2323.0,0.0014374918
2329.0,0.0014474164
2335.0,0.0014571171
2341.0,0.001466599
2347.0,0.0014758671
2353.0,0.0014849263
2359.0,0.0014937813
2365.0,0.0015024369
2371.0,0.0015108977
2377.0,0.0015191683
2383.0,0.0015272529
2389.0,0.001535156
2395.0,0.0015428818
2401.0,0.0015504345
2407.0,0.0015578181
2413.0,0.0015650365
2419.0,0.0015720937
2425.0,0.0015789935
2431.0,0.0015857395
2437.0,0.0015923354
2443.0,0.0015987848
2449.0,0.001605091
2455.0,0.0016112576
2461.0,0.0016172877
2467.0,0.0016231846
2473.0,0.0016289516
2479.0,0.0016345915
2485.0,0.0016401076
2491.0,0.0016455027
2497.0,0.0016507796
2503.0,0.0016559412
2509.0,0.0016609902
2515.0,0.0016659293
2521.0,0.0016707611
2527.0,0.0016754881
2533.0,0.0016801128
2539.0,0.0016846376
2545.0,0.0016890649
2551.0,0.0016933895
2557.0,0.001697607
2563.0,0.0017017209
2569.0,0.0017057343
2575.0,0.0017096503
2581.0,0.001713472
2587.0,0.0017172022
2593.0,0.0017208437
2599.0,0.0017243991
2605.0,0.0017278711
2611.0,0.001731262
2617.0,0.0017345744
2623.0,0.0017378105
2629.0,0.0017409725
2635.0,0.0017440626
2641.0,0.0017470829
2647.0,0.0017500352
2653.0,0.0017529217
2659.0,0.0017557441
2665.0,0.0017585041
2671.0,0.0017612037
2677.0,0.0017638444
2683.0,0.0017664279
2689.0,0.0017689557
2695.0,0.0017714293
2701.0,0.0017738502
2707.0,0.0017762199
2713.0,0.0017785396
2719.0,0.0017808108
2725.0,0.0017830346
2731.0,0.0017852124
2737.0,0.0017873454
2743.0,0.0017894347
2749.0,0.0017914814
2755.0,0.0017934866
2761.0,0.0017954514
2767.0,0.0017973769
2773.0,0.0017992639
2779.0,0.0018011136
2785.0,0.0018029267
2791.0,0.0018047042
2797.0,0.0018064471
2803.0,0.0018081561
2809.0,0.0018098321
2815.0,0.0018114758
2821.0,0.0018130881
2827.0,0.0018146697
2833.0,0.0018162214
2839.0,0.0018177438
2845.0,0.0018192377
2851.0,0.0018207037
2857.0,0.0018221425
2863.0,0.0018235547
2869.0,0.0018249409
2875.0,0.0018263017
2881.0,0.0018276378
2887.0,0.0018289497
2893.0,0.0018302379
2899.0,0.0018315029
2905.0,0.0018327454
2911.0,0.0018339657
2917.0,0.0018351644
2923.0,0.001836342
2929.0,0.001837499
