SYPERIOD,SYPERIOD
X,Y
3374.0,0.004228
3386.0,0.004244
3392.0,0.004252
3398.0,0.00426
3404.0,0.004268
3410.0,0.004276
3416.0,0.004283
3422.0,0.004291
3428.0,0.004299
3434.0,0.004307
3452.0,0.00433
3458.0,0.004338
3464.0,0.004346
3470.0,0.004354
3482.0,0.004369
3494.0,0.004384
3500.0,0.00439
3506.0,0.004395
3512.0,0.004399
3518.0,0.004403
3524.0,0.004407
3530.0,0.004411
3536.0,0.004415
3542.0,0.004419
3548.0,0.004423
3554.0,0.004427
3560.0,0.004431
3566.0,0.004435
3572.0,0.004439
3578.0,0.004443
3584.0,0.004447
3590.0,0.004451
3596.0,0.004455
3602.0,0.004459
3608.0,0.004462
3614.0,0.004466
3620.0,0.00447
3626.0,0.004474
3632.0,0.004477
3638.0,0.004481
3644.0,0.004485
3650.0,0.004488
3656.0,0.004492
3662.0,0.004496
3668.0,0.004499
3674.0,0.004503
3680.0,0.004506
3686.0,0.00451
3692.0,0.004513
3698.0,0.004517
3704.0,0.00452
3710.0,0.004523
3716.0,0.004527
3722.0,0.00453
3728.0,0.004534
3734.0,0.004537
3740.0,0.00454
3746.0,0.004544
3752.0,0.004547
3758.0,0.00455
3764.0,0.004553
3770.0,0.004557
3776.0,0.00456
3782.0,0.004563
3788.0,0.004566
3794.0,0.004569
3800.0,0.004572
3806.0,0.004575
3812.0,0.004578
3818.0,0.004582
3824.0,0.004585
3830.0,0.004588
3836.0,0.004591
3842.0,0.004594
3848.0,0.004597
3854.0,0.004599
3860.0,0.004602
3866.0,0.004605
3872.0,0.004608
3878.0,0.004611
3884.0,0.004614
3890.0,0.004617
3896.0,0.00462
3902.0,0.004622
3908.0,0.004625
3914.0,0.004628
3920.0,0.004631
3926.0,0.004633
3932.0,0.004636
3938.0,0.004639
3944.0,0.004641
3950.0,0.004644
3956.0,0.004647
3962.0,0.004649
3968.0,0.004652
3974.0,0.004655
3980.0,0.004657
3986.0,0.00466
3992.0,0.004662
3998.0,0.004665
4004.0,0.004667
4010.0,0.00467
4016.0,0.004672
4022.0,0.004675
4028.0,0.004677
4034.0,0.00468
4040.0,0.004682
4046.0,0.004684
