STABLE_PHASE,STABLE_PHASE
X,Y
13703.0,140.938
13715.0,140.938
13721.0,140.938
13733.0,140.938
13757.0,140.938
13763.0,140.938
13775.0,140.938
13781.0,140.938
13793.0,140.938
13799.0,140.938
13805.0,140.938
13811.0,140.938
13817.0,140.938
13823.0,140.938
13829.0,140.938
13835.0,140.938
13841.0,140.973
13847.0,141.217
13853.0,141.494
13859.0,141.771
13865.0,142.046
13871.0,142.321
13877.0,142.594
13883.0,142.866
13889.0,143.138
13895.0,143.408
13901.0,143.678
13907.0,143.946
13913.0,144.214
13919.0,144.481
13925.0,144.746
13931.0,145.011
13937.0,145.276
13943.0,145.539
13949.0,145.801
13955.0,146.063
13961.0,146.324
13967.0,146.584
13973.0,146.843
13979.0,147.102
13985.0,147.359
13991.0,147.616
13997.0,147.873
14003.0,148.128
14009.0,148.383
14015.0,148.637
14021.0,148.891
14027.0,149.144
14033.0,149.396
14039.0,149.647
14045.0,149.898
14051.0,150.148
14057.0,150.398
14063.0,150.647
14069.0,150.895
14075.0,151.143
14081.0,151.39
14087.0,151.637
14093.0,151.883
14099.0,152.128
14105.0,152.373
14111.0,152.617
14117.0,152.861
14123.0,153.104
14129.0,153.347
14135.0,153.589
14141.0,153.831
14147.0,154.072
14153.0,154.313
14159.0,154.553
14165.0,154.793
14171.0,155.033
14177.0,155.271
14183.0,155.51
14189.0,155.748
14195.0,155.985
14201.0,156.222
14207.0,156.459
14213.0,156.695
14219.0,156.931
14225.0,157.166
14231.0,157.401
14237.0,157.636
14243.0,157.87
14249.0,158.104
14255.0,158.337
14261.0,158.57
14267.0,158.803
14273.0,159.035
14279.0,159.267
14285.0,159.499
14291.0,159.736
14297.0,160.056
14303.0,160.401
14309.0,160.745
14315.0,161.088
14321.0,161.431
14327.0,161.772
14333.0,162.114
14339.0,162.454
14345.0,162.794
14351.0,163.133
14357.0,163.472
14363.0,163.81
14369.0,164.148
14375.0,164.485
14381.0,164.821
14387.0,165.157
14393.0,165.492
14399.0,165.827
14405.0,166.161
14411.0,166.495
14417.0,166.828
14423.0,167.161
14429.0,167.494
14435.0,167.826
14441.0,168.158
14447.0,168.489
14453.0,168.82
14459.0,169.15
14465.0,169.48
14471.0,169.81
14477.0,170.139
14483.0,170.469
14489.0,170.797
14495.0,171.098
14501.0,171.371
14507.0,171.644
14513.0,171.917
14519.0,172.19
14525.0,172.462
14531.0,172.735
14537.0,173.007
14543.0,173.279
14549.0,173.551
14555.0,173.822
14561.0,174.094
14567.0,174.365
14573.0,174.637
14579.0,174.908
14585.0,175.179
14591.0,175.45
14597.0,175.721
14603.0,175.991
14609.0,176.262
14615.0,176.533
14621.0,176.803
14627.0,177.073
14633.0,177.344
14639.0,177.614
14645.0,177.884
14651.0,178.154
14657.0,178.425
14663.0,178.695
14669.0,178.965
14675.0,179.235
14681.0,179.505
14687.0,179.775
14693.0,179.955
14695.0,180.0
15304.0,180.0
15309.0,0.0
16800.0,0.0
