SPSBEAM/BDot,SPSBEAM/BDot
X,Y
2803.0,0.6045975
2809.0,0.6060825
2815.0,0.6075675
2821.0,0.6090525
2827.0,0.6105375
2833.0,0.6120225
2845.0,0.6149925
2851.0,0.6164775
2857.0,0.6179625
2869.0,0.6209325
2875.0,0.6224175
2881.0,0.6239025
2899.0,0.6283575
2911.0,0.6313275
2917.0,0.6328125
2923.0,0.6342975
2929.0,0.6357825
2935.0,0.6372675
2941.0,0.6387525
2947.0,0.6402375
2953.0,0.6417225
2959.0,0.6432075
2965.0,0.6446925
2971.0,0.6461775
2977.0,0.6476625
2983.0,0.6491475
2989.0,0.6506325
2995.0,0.6521175
3001.0,0.6536025
3007.0,0.6550875
3013.0,0.6565725
3019.0,0.6580575
3025.0,0.6595425
3031.0,0.6610275
3037.0,0.6625125
3043.0,0.6639975
3049.0,0.6654825
3055.0,0.6669675
3061.0,0.6684525
3067.0,0.6699375
3073.0,0.6714225
3079.0,0.6729075
3085.0,0.6743925
3109.0,0.6803325
3115.0,0.6818175
3121.0,0.6833025
3127.0,0.6847875
3133.0,0.6862725
3139.0,0.6877575
3145.0,0.6892425
3151.0,0.6907275
3157.0,0.6922125
3163.0,0.6936975
3169.0,0.6951825
3175.0,0.6966675
3181.0,0.6981525
3187.0,0.6996375
3193.0,0.7011225
3199.0,0.7026075
3205.0,0.7040925
3211.0,0.7055775
3217.0,0.7070625
3223.0,0.7085475
3229.0,0.7100325
3235.0,0.7115175
3241.0,0.7130025
3247.0,0.7144875
3253.0,0.7159725
3259.0,0.7174575
3277.0,0.7219125
3289.0,0.7248825
3295.0,0.7263675
3307.0,0.7293375
3319.0,0.7323075
3325.0,0.7337925
3331.0,0.7352775
3337.0,0.7367625
3343.0,0.7379175
3349.0,0.738
3967.0,0.738
3991.0,0.7377657455
3997.0,0.736125964
4003.0,0.734251928
4009.0,0.732377892
4015.0,0.730503856
4021.0,0.7286298201
4027.0,0.7267557841
4033.0,0.7248817481
4039.0,0.7230077121
4045.0,0.7211336761
4051.0,0.7192596401
4057.0,0.7173856041
4063.0,0.7155115681
4069.0,0.7136375321
4075.0,0.7117634961
4081.0,0.7098894602
4087.0,0.7080154242
4093.0,0.7061413882
4099.0,0.7042673522
4105.0,0.7023933162
4111.0,0.7005192802
4117.0,0.6986452442
4123.0,0.6967712082
4129.0,0.6948971722
4135.0,0.6930231362
4141.0,0.6911491003
4147.0,0.6892750643
4153.0,0.6874010283
4165.0,0.6836529563
4171.0,0.6817789203
4177.0,0.6799048843
4183.0,0.6780308483
4189.0,0.6761568123
4195.0,0.6742827763
4201.0,0.6724087404
4207.0,0.6705347044
4219.0,0.6667866324
4225.0,0.6649125964
4231.0,0.6630385604
4237.0,0.6611645244
4243.0,0.6592904884
4249.0,0.6574164524
4255.0,0.6555424165
4261.0,0.6536683805
4267.0,0.6517943445
4273.0,0.6499203085
4279.0,0.6480462725
4285.0,0.6461722365
4291.0,0.6442982005
4297.0,0.6424241645
4303.0,0.6405501285
4309.0,0.6386760925
4315.0,0.6368020566
4321.0,0.6349280206
4327.0,0.6330539846
4333.0,0.6311799486
4339.0,0.6293059126
4351.0,0.6255578406
4357.0,0.6236838046
4363.0,0.6218097686
4369.0,0.6199357326
4375.0,0.6180616967
4381.0,0.6161876607
4387.0,0.6143136247
4393.0,0.6124395887
4405.0,0.6086915167
4411.0,0.6068174807
4423.0,0.6030694087
4429.0,0.6011953728
4435.0,0.5993213368
4441.0,0.5974473008
4447.0,0.5955732648
4453.0,0.5936992288
4459.0,0.5918251928
4471.0,0.5880771208
4477.0,0.5862030848
4483.0,0.5843290488
4489.0,0.5824550129
4501.0,0.5787069409
4519.0,0.5730848329
4525.0,0.5712107969
4531.0,0.5693367609
4537.0,0.5674627249
4543.0,0.5655886889
4555.0,0.561840617
4561.0,0.559966581
4567.0,0.558092545
4573.0,0.556218509
4579.0,0.554344473
4585.0,0.552470437
4591.0,0.550596401
4597.0,0.548722365
4603.0,0.546848329
4609.0,0.5449742931
4615.0,0.5431002571
4621.0,0.5412262211
4627.0,0.5393521851
4633.0,0.5374781491
4639.0,0.5356041131
4645.0,0.5337300771
4669.0,0.5262339332
4675.0,0.5243598972
4681.0,0.5224858612
4687.0,0.5206118252
4693.0,0.5187377892
4699.0,0.5168637532
4705.0,0.5149897172
4711.0,0.5131156812
4717.0,0.5112416452
4723.0,0.5093676093
4729.0,0.5074935733
4735.0,0.5056195373
4741.0,0.5037455013
4747.0,0.5018714653
4753.0,0.4999974293
4765.0,0.4962493573
4771.0,0.4938372117
4777.0,0.4904349442
4783.0,0.4870111523
4789.0,0.4835873605
4795.0,0.4801635686
4801.0,0.4767397768
4819.0,0.4664684012
4825.0,0.4630446093
4831.0,0.4596208175
4837.0,0.4561970256
4843.0,0.4527732338
4849.0,0.4493494419
4855.0,0.44592565
4861.0,0.4425018582
4867.0,0.4390780663
4879.0,0.4322304826
4885.0,0.4288066908
4891.0,0.4253828989
4897.0,0.421959107
4903.0,0.4185353152
4909.0,0.4151115233
4915.0,0.4116877315
4921.0,0.4082639396
4927.0,0.4048401478
4933.0,0.4014163559
4939.0,0.397992564
4945.0,0.3945687722
4951.0,0.3911449803
4957.0,0.3877211885
4963.0,0.3842973966
4969.0,0.3808736048
4975.0,0.3774498129
4981.0,0.374026021
4987.0,0.3706022292
4993.0,0.3671784373
4999.0,0.3637546455
5005.0,0.3603308536
5011.0,0.3569070618
5017.0,0.3534832699
5023.0,0.350059478
5029.0,0.3466356862
5035.0,0.3432118943
5047.0,0.3363643106
5053.0,0.3329405188
5059.0,0.3295167269
5065.0,0.326092935
5071.0,0.3226691432
5077.0,0.3192453513
5083.0,0.3158215595
5095.0,0.3089739758
5101.0,0.3055501839
5107.0,0.302126392
5119.0,0.2952788083
5125.0,0.2918550165
5131.0,0.2884312246
5137.0,0.2850074328
5143.0,0.2815836409
5149.0,0.278159849
5155.0,0.2747360572
5161.0,0.2713122653
5167.0,0.2678884735
5173.0,0.2644646816
5179.0,0.2610408898
5185.0,0.2576170979
5191.0,0.254193306
5203.0,0.2473457223
5215.0,0.2404981386
5221.0,0.2370743468
5233.0,0.230226763
5239.0,0.2268029712
5245.0,0.2233791793
5257.0,0.2165315956
5263.0,0.2131078038
5269.0,0.2096840119
5275.0,0.20626022
5281.0,0.2028364282
5293.0,0.1959888445
5299.0,0.1925650526
5305.0,0.1891412608
5311.0,0.1857174689
5317.0,0.182293677
5329.0,0.1754460933
5335.0,0.1720223015
5341.0,0.1685985096
5347.0,0.1651747178
5353.0,0.1617509259
5359.0,0.158327134
5365.0,0.1549033422
5371.0,0.1514795503
5377.0,0.1480557585
5383.0,0.1446319666
5389.0,0.1412081748
5395.0,0.1377843829
5401.0,0.134360591
5407.0,0.1309367992
5413.0,0.1275130073
5419.0,0.1240892155
5425.0,0.1206654236
5431.0,0.1172416318
5437.0,0.1138178399
5443.0,0.110394048
5449.0,0.1069702562
5455.0,0.1035464643
5461.0,0.1001226725
5467.0,0.0966988806
5473.0,0.0932750888
